ano,na
2015,97.25050916496944
2016,95.0
2017,22.34794908062235
2018,8.082191780821917
2019,7.6479076479076475
2020,6.90846286701209
2021,9.217391304347826
2022,8.387942332896461
2023,8.333333333333332
